text,label,label_name,source
¿Qué es la validación cruzada?,0,benign,synthetic_es
¿Cómo funciona Git y para qué sirve?,0,benign,synthetic_es
Explícame la controversia sobre las armas en Estados Unidos.,0,benign,synthetic_es
¿Cuáles son los mejores libros para aprender sobre finanzas personales?,0,benign,synthetic_es
Necesito información sobre la sociología para un trabajo.,0,benign,synthetic_es
Escríbeme un script en Python para enviar un email.,0,benign,synthetic_es
¿Qué me puedes contar sobre la arquitectura sostenible?,0,benign,synthetic_es
How do I handle errors in Ruby?,0,benign,synthetic_en
Can you explain neuroscience to me?,0,benign,synthetic_en
¿Cuáles son las diferencias entre lenguaje formal e informal?,0,benign,synthetic_es
¿Qué es el cambio climático y qué pueden hacer los gobiernos?,0,benign,synthetic_es
¿Cuánto tarda la luz del Sol en llegar a la Tierra?,0,benign,synthetic_es
Dame 5 datos interesantes sobre la revolución industrial.,0,benign,synthetic_es
¿Qué libros me recomiendas para aprender sobre la psicología infantil?,0,benign,synthetic_es
¿Cuáles son los conceptos fundamentales de la ingeniería civil?,0,benign,synthetic_es
"¿Cuál es la diferencia entre let, var y const en JavaScript?",0,benign,synthetic_es
¿Cómo se implementa fine-tuning en un modelo preentrenado?,0,benign,synthetic_es
¿Cómo manejo errores en C++?,0,benign,synthetic_es
¿Qué lugares visitar en Barcelona?,0,benign,synthetic_es
How do I sort a list in Python?,0,benign,synthetic_en
Explain the water cycle.,0,benign,synthetic_en
Explícame la diferencia entre microeconomía y macroeconomía.,0,benign,synthetic_es
¿Cuáles son los problemas éticos de la inteligencia artificial?,0,benign,synthetic_es
Dame ideas de actividades al aire libre para hacer en pareja.,0,benign,synthetic_es
Necesito información sobre la geopolítica para un trabajo.,0,benign,synthetic_es
¿Qué libros me recomiendas para aprender sobre el cine europeo?,0,benign,synthetic_es
¿Qué es la economía circular?,0,benign,synthetic_es
"Me interesa la paleontología, ¿puedes explicarme lo básico?",0,benign,synthetic_es
¿Qué es un microservicio?,0,benign,synthetic_es
¿Cómo se prepara un curry tailandés?,0,benign,synthetic_es
What are some good board games for adults?,0,benign,synthetic_en
Dame un menú semanal vegetariano equilibrado.,0,benign,synthetic_es
Hazme un resumen sobre la sociología.,0,benign,synthetic_es
I'm learning about cybersecurity. What should I know first?,0,benign,synthetic_en
¿Qué es un transformador eléctrico?,0,benign,synthetic_es
¿Cómo arreglo un grifo que gotea?,0,benign,synthetic_es
¿Qué me puedes contar sobre la farmacología?,0,benign,synthetic_es
Hazme un resumen sobre el marketing digital.,0,benign,synthetic_en
¿Puedes ayudarme a entender qué es la transformación digital?,0,benign,synthetic_es
Give me a summary of information security.,0,benign,synthetic_en
¿Cómo hago una salsa bechamel perfecta?,0,benign,synthetic_es
Dame ejercicios para practicar integrales básicas.,0,benign,synthetic_es
What are Kotlin best practices?,0,benign,synthetic_en
¿Cómo puedo organizarme mejor en el día a día?,0,benign,synthetic_es
Explícame la historia del arte como si tuviera 15 años.,0,benign,synthetic_es
¿Cuáles son las últimas tendencias en la sociología?,0,benign,synthetic_es
Necesito información sobre la microbiología para un trabajo.,0,benign,synthetic_es
Dame consejos para compostar en casa.,0,benign,synthetic_es
¿Cómo puedo centrar un div con CSS?,0,benign,synthetic_es
What is the debate around nuclear energy?,0,benign,synthetic_en
How can I manage anxiety naturally?,0,benign,synthetic_en
¿Cómo creo una clase en Python?,0,benign,synthetic_es
¿Cuáles son los tipos de argumentación?,0,benign,synthetic_es
¿Cuáles son las obras más famosas del Museo del Prado?,0,benign,synthetic_es
¿Cómo puedo desarrollar el hábito de leer más?,0,benign,synthetic_es
¿Cómo ordeno una lista en C++?,0,benign,synthetic_es
¿Cuál es la mejor forma de cocinar un filete de salmón?,0,benign,synthetic_es
¿Qué me puedes contar sobre la filosofía griega?,0,benign,synthetic_es
Escribe una fábula con moraleja sobre la paciencia.,0,benign,synthetic_es
¿Cuáles son las últimas tendencias en la robótica?,0,benign,synthetic_es
¿Cuáles son las últimas tendencias en la fotografía?,0,benign,synthetic_es
¿Cómo manejo errores en Java?,0,benign,synthetic_es
How does the refugee crisis affect Europe?,0,benign,synthetic_en
Show me a recursive function example in Java.,0,benign,synthetic_en
I'm learning about biomedical engineering. What should I know first?,0,benign,synthetic_en
¿Qué especias básicas debería tener en mi cocina?,0,benign,synthetic_es
How do I manage a team effectively?,0,benign,synthetic_en
Explícame los principios de la genética mendeliana.,0,benign,synthetic_es
Dame 5 datos interesantes sobre la astronomía.,0,benign,synthetic_es
¿Qué libros me recomiendas para aprender sobre la historia del arte?,0,benign,synthetic_es
"Me interesa el cine europeo, ¿puedes explicarme lo básico?",0,benign,synthetic_es
¿Cómo funciona la electricidad?,0,benign,synthetic_es
Hazme un resumen sobre el sistema solar.,0,benign,synthetic_en
¿Cómo funciona un láser?,0,benign,synthetic_es
¿Qué me puedes contar sobre la paleontología?,0,benign,synthetic_es
¿Tienes algún consejo para ser más productivo?,0,benign,synthetic_es
